iter	Passed	Remaining
597	8979	6036
598	8995	6022
599	9011	6007
600	9028	5993
601	9045	5980
602	9059	5964
603	9072	5947
604	9085	5931
605	9098	5915
606	9111	5899
607	9123	5882
608	9138	5867
609	9149	5849
610	9161	5832
611	9171	5814
612	9184	5798
613	9197	5781
614	9208	5764
615	9221	5748
616	9236	5733
617	9250	5718
618	9262	5701
619	9273	5683
620	9286	5667
621	9299	5651
622	9311	5634
623	9323	5617
624	9335	5601
625	9347	5584
626	9358	5567
627	9370	5550
628	9382	5534
629	9394	5517
630	9405	5500
631	9417	5483
632	9430	5467
633	9443	5451
634	9457	5436
635	9469	5419
636	9480	5402
637	9491	5385
638	9503	5369
639	9515	5352
640	9527	5335
641	9540	5319
642	9553	5304
643	9565	5287
644	9576	5270
645	9588	5254
646	9600	5237
647	9612	5221
648	9625	5205
649	9636	5188
650	9650	5173
651	9663	5157
652	9677	5142
653	9689	5126
654	9701	5109
655	9714	5094
656	9729	5079
657	9746	5065
658	9769	5055
659	9791	5043
660	9805	5029
661	9823	5015
662	9838	5001
663	9855	4987
664	9873	4973
665	9900	4965
666	9921	4953
667	9942	4941
668	9956	4926
669	9971	4911
670	9985	4896
671	9999	4880
672	10013	4865
673	10028	4850
674	10047	4837
675	10066	4824
676	10089	4813
677	10112	4802
678	10134	4790
679	10153	4778
680	10174	4766
681	10198	4755
682	10227	4746
683	10250	4735
684	10272	4723
685	10292	4711
686	10310	4697
687	10336	4687
688	10359	4675
689	10374	4661
690	10394	4648
691	10410	4633
692	10427	4619
693	10456	4610
694	10471	4595
695	10494	4583
696	10516	4571
697	10531	4556
698	10556	4545
699	10580	4534
700	10600	4521
701	10619	4507
702	10641	4495
703	10661	4482
704	10677	4467
705	10695	4453
706	10709	4438
707	10726	4423
708	10744	4409
709	10763	4396
710	10782	4382
711	10805	4370
712	10829	4359
713	10852	4347
714	10875	4335
715	10899	4323
716	10915	4308
717	10931	4293
718	10950	4279
719	10983	4271
720	10998	4256
721	11013	4240
722	11031	4226
723	11044	4210
724	11060	4195
725	11075	4179
726	11089	4164
727	11103	4148
728	11118	4133
729	11132	4117
730	11146	4101
731	11167	4088
732	11192	4076
733	11213	4063
734	11229	4048
735	11242	4032
736	11256	4016
737	11269	4000
738	11283	3985
739	11297	3969
740	11314	3954
741	11328	3938
742	11342	3923
743	11356	3907
744	11369	3891
745	11387	3877
746	11405	3863
747	11424	3849
748	11439	3833
749	11453	3817
750	11467	3802
751	11483	3787
752	11498	3771
753	11512	3755
754	11527	3740
755	11544	3726
756	11565	3712
757	11585	3698
758	11603	3684
759	11618	3668
760	11635	3654
761	11652	3639
762	11670	3624
763	11684	3609
764	11699	3593
765	11713	3578
766	11729	3563
767	11743	3547
768	11759	3532
769	11779	3518
770	11794	3503
771	11807	3487
772	11821	3471
773	11836	3456
774	11851	3440
775	11869	3426
776	11883	3410
777	11898	3395
778	11915	3380
779	11927	3364
780	11945	3349
781	11962	3334
782	11980	3320
783	11995	3304
784	12013	3290
785	12031	3275
786	12046	3260
787	12061	3245
788	12078	3230
789	12095	3215
790	12111	3200
791	12134	3186
792	12159	3174
793	12180	3160
794	12198	3145
795	12213	3130
796	12229	3114
797	12247	3100
798	12262	3084
799	12276	3069
800	12296	3054
801	12310	3039
802	12326	3024
803	12344	3009
804	12359	2993
805	12373	2978
806	12391	2963
807	12406	2948
808	12422	2932
809	12441	2918
810	12455	2902
811	12469	2887
812	12485	2871
813	12502	2856
814	12519	2841
815	12534	2826
816	12548	2810
817	12562	2795
818	12577	2779
819	12592	2764
820	12607	2748
821	12623	2733
822	12640	2718
823	12654	2702
824	12671	2687
825	12688	2672
826	12709	2658
827	12723	2643
828	12738	2627
829	12752	2611
830	12767	2596
831	12782	2581
832	12797	2565
833	12813	2550
834	12827	2534
835	12841	2519
836	12856	2503
837	12871	2488
838	12891	2473
839	12909	2458
840	12923	2443
841	12937	2427
842	12951	2412
843	12970	2397
844	13006	2385
845	13029	2371
846	13043	2356
847	13057	2340
848	13072	2325
849	13086	2309
850	13102	2294
851	13119	2278
852	13136	2263
853	13154	2248
854	13167	2233
855	13182	2217
856	13196	2202
857	13210	2186
858	13225	2170
859	13238	2155
860	13251	2139
861	13266	2123
862	13281	2108
863	13296	2092
864	13310	2077
865	13331	2062
866	13346	2047
867	13359	2031
868	13373	2016
869	13386	2000
870	13401	1984
871	13416	1969
872	13428	1953
873	13441	1937
874	13453	1921
875	13466	1906
876	13479	1890
877	13494	1875
878	13512	1860
879	13532	1845
880	13549	1830
881	13565	1814
882	13577	1799
883	13589	1783
884	13600	1767
885	13612	1751
